onset	duration	Run	Trial	image
0.0	4.9110000000000005	4	145	NSNA\7500.bmp
4.9110000000000005	4.994	4	146	NSNA\7140.bmp
9.905	5.011	4	147	NSNA\7595.bmp
14.915999999999999	4.412	4	148	NSNA\7510.bmp
19.328	5.011	4	149	Blank_2.bmp
24.339000000000002	4.995	4	150	Blank_4.bmp
29.334	5.011	4	151	Blank_3.bmp
34.345	5.593999999999999	4	152	Blank_1.bmp
39.939	4.978	4	153	SAV\3030.bmp
44.917	4.994	4	154	SAV\3280.bmp
49.911	4.994	4	155	SAV\8230.bmp
54.905	4.446000000000001	4	156	SAV\9921.bmp
59.351000000000006	4.995	4	157	Blank_1.bmp
64.346	4.994	4	158	Blank_2.bmp
69.34	5.011	4	159	Blank_3.bmp
74.351	5.593	4	160	Blank_4.bmp
79.944	4.962	4	161	NSPS\5220.bmp
84.906	5.011	4	162	NSPS\1560.bmp
89.917	4.994	4	163	NSPS\5760.bmp
94.911	4.428999999999999	4	164	NSPS\5260.bmp
99.34	5.011	4	165	Blank_4.bmp
104.351	4.994	4	166	Blank_2.bmp
109.345	4.995	4	167	Blank_1.bmp
114.34	5.61	4	168	Blank_3.bmp
119.95	4.961	4	169	NSAV\3150.bmp
124.911	5.011	4	170	NSAV\5940.bmp
129.922	4.995	4	171	NSAV\9300.bmp
134.917	4.43	4	172	NSAV\9470.bmp
139.347	4.993	4	173	Blank_2.bmp
144.34	4.994	4	174	Blank_3.bmp
149.334	5.011	4	175	Blank_4.bmp
154.345	5.579	4	176	Blank_1.bmp
159.924	4.993	4	177	SPS\8540.bmp
164.917	4.995	4	178	SPS\4250.bmp
169.912	4.994	4	179	SPS\2216.bmp
174.90599999999998	4.445	4	180	SPS\4572.bmp
179.351	4.995	4	181	Blank_1.bmp
184.34599999999998	5.011	4	182	Blank_3.bmp
189.357	4.994	4	183	Blank_2.bmp
194.351	5.577999999999999	4	184	Blank_4.bmp
199.929	4.977	4	185	SNA\9210.bmp
204.90599999999998	5.011	4	186	SNA\5875.bmp
209.917	4.995	4	187	SNA\9070.bmp
214.912	4.428	4	188	SNA\2271.bmp
219.34	5.011	4	189	Blank_2.bmp
224.351	4.995	4	190	Blank_3.bmp
229.34599999999998	4.994	4	191	Blank_1.bmp
234.34	5.0	4	192	Blank_4.bmp
