onset	duration	Run	Trial	image
0.0	4.878	1	1	SNA\2850.bmp
4.878	5.011	1	2	SNA\7550.bmp
9.889	4.978	1	3	SNA\7620.bmp
14.867	4.462	1	4	SNA\2271.bmp
19.329	5.56	1	5	Blank_2.bmp
24.889	4.979	1	6	Blank_3.bmp
29.868000000000002	4.461	1	7	Blank_4.bmp
34.329	5.593999999999999	1	8	Blank_1.bmp
39.923	4.978	1	9	NSPS\1560.bmp
44.901	4.994	1	10	NSPS\5300.bmp
49.895	5.011	1	11	NSPS\7270.bmp
54.906000000000006	4.428999999999999	1	12	NSPS\5270.bmp
59.335	4.994	1	13	Blank_2.bmp
64.329	4.994	1	14	Blank_4.bmp
69.32300000000001	5.012	1	15	Blank_3.bmp
74.335	5.61	1	16	Blank_1.bmp
79.945	4.895	1	17	SAV\3280.bmp
84.84	5.061	1	18	SAV\3051.bmp
89.90100000000001	5.011	1	19	SAV\3030.bmp
94.912	4.428	1	20	SAV\1201.bmp
99.34	4.995	1	21	Blank_3.bmp
104.335	4.994	1	22	Blank_2.bmp
109.329	4.995	1	23	Blank_1.bmp
114.324	5.643	1	24	Blank_4.bmp
119.96700000000001	4.962	1	25	NSNA\7180.bmp
124.929	4.994	1	26	NSNA\5390.bmp
129.923	5.011	1	27	NSNA\9080.bmp
134.934	4.395	1	28	NSNA\5534.bmp
139.329	5.011	1	29	Blank_1.bmp
144.34	4.978	1	30	Blank_3.bmp
149.31799999999998	5.011	1	31	Blank_2.bmp
154.329	5.644	1	32	Blank_4.bmp
159.97299999999998	4.945	1	33	NSAV\9181.bmp
164.918	4.977	1	34	NSAV\6020.bmp
169.895	5.011	1	35	NSAV\9300.bmp
174.90599999999998	4.428999999999999	1	36	NSAV\5971.bmp
179.335	4.994	1	37	Blank_1.bmp
184.329	4.995	1	38	Blank_4.bmp
189.324	5.011	1	39	Blank_3.bmp
194.335	5.61	1	40	Blank_2.bmp
199.945	4.978	1	41	SPS\2091.bmp
204.923	4.978	1	42	SPS\1710.bmp
209.90099999999998	5.011	1	43	SPS\8540.bmp
214.912	4.428999999999999	1	44	SPS\4250.bmp
219.34099999999998	4.994	1	45	Blank_2.bmp
224.335	4.994	1	46	Blank_3.bmp
229.329	4.995	1	47	Blank_1.bmp
234.324	5.0	1	48	Blank_4.bmp
