onset	duration	Run	Trial	image
0.0	4.928	3	97	SPS\2391.bmp
4.928	4.978	3	98	SPS\2345.bmp
9.906	4.995	3	99	SPS\5621.bmp
14.901	4.428	3	100	SPS\2540.bmp
19.329	4.995	3	101	Blank_3.bmp
24.324	4.994	3	102	Blank_1.bmp
29.318	5.011	3	103	Blank_4.bmp
34.329	5.595	3	104	Blank_2.bmp
39.924	4.977	3	105	NSNA\5250.bmp
44.901	4.994	3	106	NSNA\9360.bmp
49.895	5.011	3	107	NSNA\5535.bmp
54.906000000000006	4.428999999999999	3	108	NSNA\5800.bmp
59.335	4.994	3	109	Blank_3.bmp
64.329	5.011	3	110	Blank_1.bmp
69.34	4.995	3	111	Blank_2.bmp
74.335	5.593999999999999	3	112	Blank_4.bmp
79.929	4.977	3	113	SAV\2053.bmp
84.906	5.011	3	114	SAV\9921.bmp
89.917	4.995	3	115	SAV\9910.bmp
94.912	4.428	3	116	SAV\9040.bmp
99.34	5.011	3	117	Blank_1.bmp
104.351	4.995	3	118	Blank_2.bmp
109.346	4.994	3	119	Blank_4.bmp
114.34	5.595	3	120	Blank_3.bmp
119.935	4.977	3	121	NSPS\5780.bmp
124.912	4.994	3	122	NSPS\1900.bmp
129.906	4.995	3	123	NSPS\5660.bmp
134.901	4.445	3	124	NSPS\5990.bmp
139.346	4.994	3	125	Blank_3.bmp
144.34	4.995	3	126	Blank_2.bmp
149.335	5.011	3	127	Blank_1.bmp
154.346	5.593999999999999	3	128	Blank_4.bmp
159.94	4.978	3	129	NSAV\9001.bmp
164.918	5.011	3	130	NSAV\5940.bmp
169.929	4.994	3	131	NSAV\3150.bmp
174.923	4.412	3	132	NSAV\1280.bmp
179.335	4.994	3	133	Blank_3.bmp
184.329	5.012	3	134	Blank_4.bmp
189.34099999999998	4.995	3	135	Blank_1.bmp
194.33599999999998	5.593	3	136	Blank_2.bmp
199.929	4.994	3	137	SNA\2487.bmp
204.923	4.995	3	138	SNA\2575.bmp
209.918	4.994	3	139	SNA\2440.bmp
214.912	4.428999999999999	3	140	SNA\2372.bmp
219.34099999999998	4.994	3	141	Blank_4.bmp
224.335	5.011	3	142	Blank_3.bmp
229.34599999999998	4.979	3	143	Blank_1.bmp
234.325	5.0	3	144	Blank_2.bmp
