onset	duration	Run	Trial	image
0.0	4.894	1	1	SNA\2200.bmp
4.894	5.012	1	2	SNA\2372.bmp
9.906	4.994	1	3	SNA\7620.bmp
14.9	4.413	1	4	SNA\2580.bmp
19.313	5.01	1	5	Blank_1.bmp
24.323	5.56	1	6	Blank_2.bmp
29.883000000000003	4.995	1	7	Blank_3.bmp
34.878	5.0280000000000005	1	8	Blank_4.bmp
39.906	4.978	1	9	NSPS\1560.bmp
44.88399999999999	5.011	1	10	NSPS\1650.bmp
49.895	5.011	1	11	NSPS\5260.bmp
54.906000000000006	4.428	1	12	NSPS\5990.bmp
59.333999999999996	4.995	1	13	Blank_4.bmp
64.329	4.994	1	14	Blank_3.bmp
69.32300000000001	5.011	1	15	Blank_2.bmp
74.334	5.593999999999999	1	16	Blank_1.bmp
79.928	4.961	1	17	SAV\3000.bmp
84.889	5.011	1	18	SAV\3030.bmp
89.9	4.978	1	19	SAV\8230.bmp
94.87799999999999	4.462	1	20	SAV\1201.bmp
99.34	4.994	1	21	Blank_4.bmp
104.334	4.995	1	22	Blank_1.bmp
109.329	4.994	1	23	Blank_3.bmp
114.323	5.627000000000001	1	24	Blank_2.bmp
119.95	4.962	1	25	NSNA\7500.bmp
124.912	4.977	1	26	NSNA\7180.bmp
129.889	5.0280000000000005	1	27	NSNA\1390.bmp
134.917	4.412	1	28	NSNA\5535.bmp
139.329	4.994	1	29	Blank_2.bmp
144.32299999999998	4.995	1	30	Blank_1.bmp
149.31799999999998	5.011	1	31	Blank_4.bmp
154.329	5.61	1	32	Blank_3.bmp
159.939	4.945	1	33	NSAV\3400.bmp
164.88400000000001	5.0280000000000005	1	34	NSAV\5971.bmp
169.912	4.977	1	35	NSAV\9290.bmp
174.889	4.446000000000001	1	36	NSAV\9560.bmp
179.335	4.994	1	37	Blank_3.bmp
184.329	5.011	1	38	Blank_1.bmp
189.34	4.995	1	39	Blank_4.bmp
194.335	5.593	1	40	Blank_2.bmp
199.928	4.978	1	41	SPS\5621.bmp
204.90599999999998	5.011	1	42	SPS\1710.bmp
209.917	4.978	1	43	SPS\2340.bmp
214.895	4.445	1	44	SPS\1340.bmp
219.34	4.995	1	45	Blank_3.bmp
224.335	4.994	1	46	Blank_1.bmp
229.329	5.011	1	47	Blank_4.bmp
234.34	5.0	1	48	Blank_2.bmp
