onset	duration	Run	Trial	image
0.0	4.895	1	1	SNA\2575.bmp
4.895	4.978	1	2	SNA\7620.bmp
9.873	4.994	1	3	SNA\2850.bmp
14.867	4.995	1	4	SNA\2383.bmp
19.862000000000002	4.994	1	5	Blank_4.bmp
24.855999999999998	4.445	1	6	Blank_3.bmp
29.301	4.995	1	7	Blank_2.bmp
34.296	5.61	1	8	Blank_1.bmp
39.906	4.978	1	9	NSPS\5220.bmp
44.88399999999999	5.011	1	10	NSPS\5910.bmp
49.895	4.961	1	11	NSPS\5660.bmp
54.856	4.462	1	12	NSPS\1650.bmp
59.318000000000005	4.978	1	13	Blank_4.bmp
64.296	5.011	1	14	Blank_3.bmp
69.307	4.994	1	15	Blank_2.bmp
74.301	5.611000000000001	1	16	Blank_1.bmp
79.91199999999999	4.978	1	17	SAV\1201.bmp
84.89	4.994	1	18	SAV\9910.bmp
89.884	4.995	1	19	SAV\9040.bmp
94.87899999999999	4.428	1	20	SAV\2053.bmp
99.307	5.011	1	21	Blank_3.bmp
104.318	4.995	1	22	Blank_2.bmp
109.31299999999999	4.994	1	23	Blank_1.bmp
114.307	5.627000000000001	1	24	Blank_4.bmp
119.934	4.962	1	25	NSNA\7217.bmp
124.896	4.994	1	26	NSNA\9360.bmp
129.89	4.978	1	27	NSNA\5395.bmp
134.868	4.428	1	28	NSNA\7500.bmp
139.296	5.011	1	29	Blank_4.bmp
144.30700000000002	4.995	1	30	Blank_3.bmp
149.30200000000002	4.994	1	31	Blank_1.bmp
154.296	5.627999999999999	1	32	Blank_2.bmp
159.924	4.961	1	33	NSAV\9560.bmp
164.885	4.994	1	34	NSAV\6020.bmp
169.87900000000002	4.996	1	35	NSAV\1111.bmp
174.875	4.444	1	36	NSAV\9001.bmp
179.31900000000002	4.979	1	37	Blank_3.bmp
184.298	5.01	1	38	Blank_4.bmp
189.308	4.994	1	39	Blank_1.bmp
194.30200000000002	5.627000000000001	1	40	Blank_2.bmp
199.929	4.962	1	41	SPS\8540.bmp
204.891	4.994	1	42	SPS\1463.bmp
209.885	4.994	1	43	SPS\2091.bmp
214.87900000000002	4.428999999999999	1	44	SPS\4250.bmp
219.308	4.996	1	45	Blank_4.bmp
224.304	5.01	1	46	Blank_1.bmp
229.31400000000002	4.994	1	47	Blank_2.bmp
234.308	5.0	1	48	Blank_3.bmp
