onset	duration	Run	Trial	image
0.0	4.9110000000000005	4	145	NSNA\7510.bmp
4.9110000000000005	4.994	4	146	NSNA\5535.bmp
9.905	5.011	4	147	NSNA\5120.bmp
14.915999999999999	4.428999999999999	4	148	NSNA\9080.bmp
19.345	4.994	4	149	Blank_1.bmp
24.339000000000002	4.995	4	150	Blank_4.bmp
29.334	5.011	4	151	Blank_2.bmp
34.345	5.544	4	152	Blank_3.bmp
39.889	5.011	4	153	SAV\3051.bmp
44.9	5.011	4	154	SAV\2141.bmp
49.911	4.995	4	155	SAV\9421.bmp
54.906000000000006	4.445	4	156	SAV\6840.bmp
59.351000000000006	4.994	4	157	Blank_3.bmp
64.345	4.995	4	158	Blank_1.bmp
69.34	4.994	4	159	Blank_2.bmp
74.334	5.593999999999999	4	160	Blank_4.bmp
79.928	4.994	4	161	NSPS\5990.bmp
84.92200000000001	4.995	4	162	NSPS\5760.bmp
89.917	4.994	4	163	NSPS\5270.bmp
94.911	4.428999999999999	4	164	NSPS\1560.bmp
99.34	5.011	4	165	Blank_1.bmp
104.351	4.994	4	166	Blank_3.bmp
109.345	5.011	4	167	Blank_4.bmp
114.35600000000001	5.577999999999999	4	168	Blank_2.bmp
119.934	4.977	4	169	NSAV\3400.bmp
124.911	4.995	4	170	NSAV\9300.bmp
129.906	5.011	4	171	NSAV\5971.bmp
134.917	4.428999999999999	4	172	NSAV\1280.bmp
139.346	4.994	4	173	Blank_2.bmp
144.34	5.011	4	174	Blank_1.bmp
149.351	4.995	4	175	Blank_4.bmp
154.346	5.593	4	176	Blank_3.bmp
159.939	4.979	4	177	SPS\2209.bmp
164.918	4.994	4	178	SPS\1920.bmp
169.912	4.994	4	179	SPS\2216.bmp
174.90599999999998	4.445	4	180	SPS\4572.bmp
179.351	4.995	4	181	Blank_2.bmp
184.34599999999998	4.994	4	182	Blank_3.bmp
189.34	4.995	4	183	Blank_4.bmp
194.335	5.61	4	184	Blank_1.bmp
199.945	4.962	4	185	SNA\8160.bmp
204.907	5.011	4	186	SNA\7550.bmp
209.918	4.994	4	187	SNA\2372.bmp
214.912	4.445	4	188	SNA\2271.bmp
219.357	4.995	4	189	Blank_4.bmp
224.352	4.994	4	190	Blank_3.bmp
229.34599999999998	4.995	4	191	Blank_2.bmp
234.34099999999998	5.0	4	192	Blank_1.bmp
