onset	duration	Run	Trial	image
0.0	4.894	1	1	SNA\2575.bmp
4.894	4.978	1	2	SNA\7550.bmp
9.872	5.011	1	3	SNA\7620.bmp
14.883	4.995	1	4	SNA\5875.bmp
19.878	4.445	1	5	Blank_3.bmp
24.323	5.544	1	6	Blank_2.bmp
29.866999999999997	4.461	1	7	Blank_4.bmp
34.328	5.593999999999999	1	8	Blank_1.bmp
39.922	4.995	1	9	NSPS\1650.bmp
44.917	4.994	1	10	NSPS\5300.bmp
49.911	4.995	1	11	NSPS\5990.bmp
54.906000000000006	4.445	1	12	NSPS\7330.bmp
59.351000000000006	4.978	1	13	Blank_1.bmp
64.329	5.011	1	14	Blank_2.bmp
69.34	4.994	1	15	Blank_3.bmp
74.334	5.611000000000001	1	16	Blank_4.bmp
79.945	4.944	1	17	SAV\3280.bmp
84.889	5.011	1	18	SAV\2900.bmp
89.9	4.995	1	19	SAV\9042.bmp
94.895	4.445	1	20	SAV\9050.bmp
99.34	4.994	1	21	Blank_2.bmp
104.334	4.995	1	22	Blank_4.bmp
109.329	5.011	1	23	Blank_3.bmp
114.34	5.61	1	24	Blank_1.bmp
119.95	4.961	1	25	NSNA\7510.bmp
124.911	4.995	1	26	NSNA\5250.bmp
129.906	4.978	1	27	NSNA\7100.bmp
134.884	4.445	1	28	NSNA\9080.bmp
139.329	5.011	1	29	Blank_3.bmp
144.34	4.994	1	30	Blank_2.bmp
149.334	4.995	1	31	Blank_1.bmp
154.329	5.595	1	32	Blank_4.bmp
159.924	4.976	1	33	NSAV\3400.bmp
164.9	5.011	1	34	NSAV\5971.bmp
169.91099999999997	4.995	1	35	NSAV\9140.bmp
174.90599999999998	4.428	1	36	NSAV\9560.bmp
179.334	4.995	1	37	Blank_3.bmp
184.329	4.994	1	38	Blank_4.bmp
189.32299999999998	5.011	1	39	Blank_1.bmp
194.334	5.593999999999999	1	40	Blank_2.bmp
199.928	4.961	1	41	SPS\4250.bmp
204.889	5.0280000000000005	1	42	SPS\1340.bmp
209.917	4.961	1	43	SPS\1710.bmp
214.878	4.462	1	44	SPS\4641.bmp
219.34	4.994	1	45	Blank_3.bmp
224.334	4.995	1	46	Blank_2.bmp
229.329	5.011	1	47	Blank_1.bmp
234.34	5.0	1	48	Blank_4.bmp
