onset	duration	Run	Trial	image
0.0	4.895	4	145	NSNA\7180.bmp
4.895	5.011	4	146	NSNA\7140.bmp
9.906	4.978	4	147	NSNA\5120.bmp
14.884	4.461	4	148	NSNA\5534.bmp
19.345	4.995	4	149	Blank_4.bmp
24.34	4.994	4	150	Blank_2.bmp
29.334	5.011	4	151	Blank_3.bmp
34.345	5.577999999999999	4	152	Blank_1.bmp
39.923	4.978	4	153	SAV\3000.bmp
44.901	5.011	4	154	SAV\9910.bmp
49.912	4.994	4	155	SAV\2053.bmp
54.906000000000006	4.445	4	156	SAV\9230.bmp
59.351000000000006	4.995	4	157	Blank_1.bmp
64.346	4.994	4	158	Blank_2.bmp
69.34	5.011	4	159	Blank_4.bmp
74.351	5.577000000000001	4	160	Blank_3.bmp
79.928	4.962	4	161	NSPS\7230.bmp
84.89	5.011	4	162	NSPS\5780.bmp
89.90100000000001	4.994	4	163	NSPS\5600.bmp
94.895	4.462	4	164	NSPS\5626.bmp
99.35700000000001	4.994	4	165	Blank_2.bmp
104.351	4.995	4	166	Blank_3.bmp
109.346	4.994	4	167	Blank_4.bmp
114.34	5.577000000000001	4	168	Blank_1.bmp
119.917	4.978	4	169	NSAV\9470.bmp
124.895	5.011	4	170	NSAV\1240.bmp
129.906	4.995	4	171	NSAV\9330.bmp
134.901	4.445	4	172	NSAV\1111.bmp
139.346	5.011	4	173	Blank_1.bmp
144.357	4.994	4	174	Blank_4.bmp
149.351	4.995	4	175	Blank_3.bmp
154.346	5.577000000000001	4	176	Blank_2.bmp
159.923	4.978	4	177	SPS\8461.bmp
164.90099999999998	5.011	4	178	SPS\4572.bmp
169.912	4.978	4	179	SPS\2345.bmp
174.89	4.461	4	180	SPS\2216.bmp
179.351	4.995	4	181	Blank_2.bmp
184.34599999999998	5.011	4	182	Blank_3.bmp
189.357	4.994	4	183	Blank_4.bmp
194.351	5.577000000000001	4	184	Blank_1.bmp
199.928	4.962	4	185	SNA\2271.bmp
204.89	5.011	4	186	SNA\9070.bmp
209.90099999999998	4.994	4	187	SNA\2440.bmp
214.895	4.445	4	188	SNA\2560.bmp
219.34	5.011	4	189	Blank_4.bmp
224.351	4.995	4	190	Blank_2.bmp
229.34599999999998	4.995	4	191	Blank_1.bmp
234.34099999999998	5.0	4	192	Blank_3.bmp
