onset	duration	Run	Trial	image
0.0	4.9110000000000005	2	49	NSAV\9001.bmp
4.9110000000000005	5.011	2	50	NSAV\6020.bmp
9.922	5.011	2	51	NSAV\9300.bmp
14.933	4.412	2	52	NSAV\9470.bmp
19.345	5.011	2	53	Blank_4.bmp
24.355999999999998	4.995	2	54	Blank_3.bmp
29.351	4.994	2	55	Blank_1.bmp
34.345	5.593999999999999	2	56	Blank_2.bmp
39.939	4.962	2	57	SNA\2190.bmp
44.901	5.027	2	58	SNA\2200.bmp
49.928000000000004	4.994	2	59	SNA\2580.bmp
54.922	4.428999999999999	2	60	SNA\2271.bmp
59.351000000000006	4.994	2	61	Blank_1.bmp
64.345	4.995	2	62	Blank_3.bmp
69.34	4.994	2	63	Blank_4.bmp
74.334	5.612	2	64	Blank_2.bmp
79.946	4.976	2	65	NSPS\5780.bmp
84.92200000000001	4.995	2	66	NSPS\5300.bmp
89.917	5.011	2	67	NSPS\5270.bmp
94.928	4.428	2	68	NSPS\5849.bmp
99.35600000000001	4.978	2	69	Blank_4.bmp
104.334	5.011	2	70	Blank_1.bmp
109.345	4.995	2	71	Blank_2.bmp
114.34	5.593	2	72	Blank_3.bmp
119.93299999999999	4.995	2	73	NSNA\5130.bmp
124.928	4.994	2	74	NSNA\7180.bmp
129.922	4.995	2	75	NSNA\7217.bmp
134.917	4.428	2	76	NSNA\9360.bmp
139.345	4.995	2	77	Blank_4.bmp
144.34	5.011	2	78	Blank_1.bmp
149.351	4.994	2	79	Blank_2.bmp
154.345	5.593999999999999	2	80	Blank_3.bmp
159.939	4.978	2	81	SPS\4572.bmp
164.917	5.011	2	82	SPS\4641.bmp
169.928	5.011	2	83	SPS\2340.bmp
174.93900000000002	4.412	2	84	SPS\1340.bmp
179.351	4.994	2	85	Blank_4.bmp
184.345	4.995	2	86	Blank_3.bmp
189.34	4.995	2	87	Blank_1.bmp
194.335	5.61	2	88	Blank_2.bmp
199.945	4.977	2	89	SAV\9921.bmp
204.922	5.011	2	90	SAV\9040.bmp
209.933	4.978	2	91	SAV\9230.bmp
214.91099999999997	4.428999999999999	2	92	SAV\9042.bmp
219.34	5.011	2	93	Blank_1.bmp
224.351	4.994	2	94	Blank_4.bmp
229.345	4.995	2	95	Blank_2.bmp
234.34	5.0	2	96	Blank_3.bmp
