onset	duration	Run	Trial	image
0.0	4.878	1	1	SNA\2372.bmp
4.878	4.995	1	2	SNA\2440.bmp
9.873	4.994	1	3	SNA\2200.bmp
14.867	4.462	1	4	SNA\7550.bmp
19.329	4.994	1	5	Blank_3.bmp
24.323	4.995	1	6	Blank_1.bmp
29.318	5.011	1	7	Blank_2.bmp
34.329	5.577000000000001	1	8	Blank_4.bmp
39.906	4.995	1	9	NSPS\5600.bmp
44.901	4.994	1	10	NSPS\5780.bmp
49.895	5.011	1	11	NSPS\1650.bmp
54.906000000000006	4.428999999999999	1	12	NSPS\7570.bmp
59.335	5.011	1	13	Blank_1.bmp
64.346	4.994	1	14	Blank_3.bmp
69.34	4.995	1	15	Blank_2.bmp
74.335	5.593	1	16	Blank_4.bmp
79.928	4.912	1	17	SAV\2053.bmp
84.84	5.044	1	18	SAV\3051.bmp
89.884	5.011	1	19	SAV\2900.bmp
94.895	4.445	1	20	SAV\3280.bmp
99.34	5.011	1	21	Blank_2.bmp
104.351	4.995	1	22	Blank_1.bmp
109.346	4.994	1	23	Blank_3.bmp
114.34	5.577999999999999	1	24	Blank_4.bmp
119.91799999999999	4.977	1	25	NSNA\9360.bmp
124.895	4.995	1	26	NSNA\7595.bmp
129.89	5.011	1	27	NSNA\9080.bmp
134.901	4.445	1	28	NSNA\7500.bmp
139.346	4.995	1	29	Blank_2.bmp
144.341	4.994	1	30	Blank_1.bmp
149.335	4.994	1	31	Blank_4.bmp
154.329	5.611000000000001	1	32	Blank_3.bmp
159.94	4.978	1	33	NSAV\9330.bmp
164.918	5.011	1	34	NSAV\1280.bmp
169.929	4.994	1	35	NSAV\6020.bmp
174.923	4.412	1	36	NSAV\9600.bmp
179.335	5.011	1	37	Blank_2.bmp
184.34599999999998	4.995	1	38	Blank_4.bmp
189.34099999999998	5.011	1	39	Blank_1.bmp
194.352	5.593999999999999	1	40	Blank_3.bmp
199.946	4.977	1	41	SPS\4572.bmp
204.923	4.978	1	42	SPS\2216.bmp
209.90099999999998	4.995	1	43	SPS\2050.bmp
214.896	4.445	1	44	SPS\2150.bmp
219.34099999999998	4.994	1	45	Blank_2.bmp
224.335	5.011	1	46	Blank_1.bmp
229.34599999999998	4.995	1	47	Blank_4.bmp
234.34099999999998	5.0	1	48	Blank_3.bmp
