onset	duration	Run	Trial	image
0.0	4.928	2	49	NSAV\9300.bmp
4.928	4.978	2	50	NSAV\9600.bmp
9.906	5.0280000000000005	2	51	NSAV\7380.bmp
14.934000000000001	4.395	2	52	NSAV\5940.bmp
19.329	5.011	2	53	Blank_1.bmp
24.34	4.978	2	54	Blank_4.bmp
29.318	5.011	2	55	Blank_2.bmp
34.329	5.61	2	56	Blank_3.bmp
39.939	4.995	2	57	SNA\2271.bmp
44.934	4.978	2	58	SNA\7620.bmp
49.912	4.994	2	59	SNA\2580.bmp
54.906000000000006	4.428999999999999	2	60	SNA\5875.bmp
59.335	4.994	2	61	Blank_3.bmp
64.329	4.995	2	62	Blank_2.bmp
69.324	5.011	2	63	Blank_1.bmp
74.335	5.627000000000001	2	64	Blank_4.bmp
79.962	4.961	2	65	NSPS\5270.bmp
84.92299999999999	4.995	2	66	NSPS\1650.bmp
89.91799999999999	4.994	2	67	NSPS\7270.bmp
94.912	4.412	2	68	NSPS\5220.bmp
99.324	5.011	2	69	Blank_2.bmp
104.335	4.994	2	70	Blank_4.bmp
109.329	5.012	2	71	Blank_1.bmp
114.34100000000001	5.61	2	72	Blank_3.bmp
119.95100000000001	4.961	2	73	NSNA\5535.bmp
124.912	5.011	2	74	NSNA\5250.bmp
129.923	4.978	2	75	NSNA\7140.bmp
134.901	4.428999999999999	2	76	NSNA\5534.bmp
139.33	5.011	2	77	Blank_1.bmp
144.341	4.994	2	78	Blank_3.bmp
149.335	4.995	2	79	Blank_2.bmp
154.33	5.61	2	80	Blank_4.bmp
159.94	4.978	2	81	SPS\2391.bmp
164.918	5.011	2	82	SPS\4572.bmp
169.929	4.978	2	83	SPS\2150.bmp
174.907	4.428	2	84	SPS\4250.bmp
179.335	4.995	2	85	Blank_3.bmp
184.33	4.994	2	86	Blank_1.bmp
189.324	5.011	2	87	Blank_4.bmp
194.335	5.611000000000001	2	88	Blank_2.bmp
199.946	4.978	2	89	SAV\6840.bmp
204.924	4.978	2	90	SAV\3030.bmp
209.90200000000002	5.011	2	91	SAV\9921.bmp
214.91299999999998	4.428	2	92	SAV\6010.bmp
219.34099999999998	4.995	2	93	Blank_2.bmp
224.33599999999998	4.994	2	94	Blank_4.bmp
229.33	4.995	2	95	Blank_3.bmp
234.325	5.0	2	96	Blank_1.bmp
