onset	duration	Run	Trial	image
0.0	4.928	3	97	SPS\8461.bmp
4.928	4.978	3	98	SPS\1710.bmp
9.906	4.994	3	99	SPS\2391.bmp
14.9	4.428999999999999	3	100	SPS\2340.bmp
19.329	4.994	3	101	Blank_4.bmp
24.323	4.994	3	102	Blank_3.bmp
29.316999999999997	5.012	3	103	Blank_1.bmp
34.329	5.593	3	104	Blank_2.bmp
39.922	4.978	3	105	NSNA\5130.bmp
44.9	5.011	3	106	NSNA\5534.bmp
49.911	5.011	3	107	NSNA\7595.bmp
54.922	4.412	3	108	NSNA\5720.bmp
59.333999999999996	4.995	3	109	Blank_1.bmp
64.329	4.994	3	110	Blank_3.bmp
69.32300000000001	5.011	3	111	Blank_4.bmp
74.334	5.627000000000001	3	112	Blank_2.bmp
79.961	4.945	3	113	SAV\6821.bmp
84.906	4.994	3	114	SAV\9040.bmp
89.9	4.995	3	115	SAV\9230.bmp
94.895	4.428	3	116	SAV\9910.bmp
99.323	5.011	3	117	Blank_3.bmp
104.334	4.994	3	118	Blank_1.bmp
109.32799999999999	5.012	3	119	Blank_4.bmp
114.34	5.593	3	120	Blank_2.bmp
119.93299999999999	4.978	3	121	NSPS\5780.bmp
124.911	5.011	3	122	NSPS\5910.bmp
129.922	4.995	3	123	NSPS\5760.bmp
134.917	4.4110000000000005	3	124	NSPS\5220.bmp
139.328	5.012	3	125	Blank_3.bmp
144.34	4.994	3	126	Blank_4.bmp
149.334	4.996	3	127	Blank_2.bmp
154.33	5.593	3	128	Blank_1.bmp
159.923	5.01	3	129	NSAV\9290.bmp
164.933	4.978	3	130	NSAV\9600.bmp
169.91099999999997	5.011	3	131	NSAV\1240.bmp
174.922	4.412	3	132	NSAV\9001.bmp
179.334	4.994	3	133	Blank_4.bmp
184.328	5.012	3	134	Blank_1.bmp
189.34	4.994	3	135	Blank_3.bmp
194.334	5.61	3	136	Blank_2.bmp
199.94400000000002	4.962	3	137	SNA\8160.bmp
204.90599999999998	5.011	3	138	SNA\2580.bmp
209.917	4.994	3	139	SNA\2440.bmp
214.91099999999997	4.413	3	140	SNA\2575.bmp
219.324	5.01	3	141	Blank_2.bmp
224.334	4.994	3	142	Blank_1.bmp
229.328	5.012	3	143	Blank_4.bmp
234.34	5.0	3	144	Blank_3.bmp
