onset	duration	Run	Trial	image
0.0	4.878	1	1	SNA\2850.bmp
4.878	4.994	1	2	SNA\2200.bmp
9.872	5.012	1	3	SNA\7550.bmp
14.884	4.4110000000000005	1	4	SNA\2440.bmp
19.295	4.995	1	5	Blank_1.bmp
24.29	5.577000000000001	1	6	Blank_2.bmp
29.866999999999997	4.994	1	7	Blank_3.bmp
34.861	5.061	1	8	Blank_4.bmp
39.922	4.978	1	9	NSPS\7330.bmp
44.9	4.995	1	10	NSPS\5660.bmp
49.895	4.994	1	11	NSPS\5849.bmp
54.888999999999996	4.412	1	12	NSPS\7570.bmp
59.301	5.011	1	13	Blank_3.bmp
64.312	4.994	1	14	Blank_4.bmp
69.306	4.996	1	15	Blank_2.bmp
74.30199999999999	5.626	1	16	Blank_1.bmp
79.928	4.961	1	17	SAV\1201.bmp
84.889	5.011	1	18	SAV\3000.bmp
89.9	4.995	1	19	SAV\2900.bmp
94.895	4.4110000000000005	1	20	SAV\6010.bmp
99.306	5.011	1	21	Blank_1.bmp
104.31700000000001	4.995	1	22	Blank_4.bmp
109.31200000000001	4.994	1	23	Blank_2.bmp
114.306	5.595	1	24	Blank_3.bmp
119.90100000000001	4.977	1	25	NSNA\5120.bmp
124.87799999999999	5.011	1	26	NSNA\1390.bmp
129.889	5.011	1	27	NSNA\5800.bmp
134.9	4.412	1	28	NSNA\5720.bmp
139.312	4.994	1	29	Blank_3.bmp
144.306	4.995	1	30	Blank_2.bmp
149.30100000000002	5.011	1	31	Blank_4.bmp
154.312	5.627000000000001	1	32	Blank_1.bmp
159.939	4.961	1	33	NSAV\1280.bmp
164.9	5.011	1	34	NSAV\3400.bmp
169.91099999999997	4.978	1	35	NSAV\9181.bmp
174.889	4.412	1	36	NSAV\1240.bmp
179.301	5.011	1	37	Blank_3.bmp
184.312	4.994	1	38	Blank_4.bmp
189.30599999999998	4.995	1	39	Blank_1.bmp
194.301	5.643	1	40	Blank_2.bmp
199.94400000000002	4.962	1	41	SPS\2391.bmp
204.90599999999998	4.977	1	42	SPS\2216.bmp
209.88299999999998	4.995	1	43	SPS\2150.bmp
214.878	4.428	1	44	SPS\2340.bmp
219.30599999999998	4.995	1	45	Blank_1.bmp
224.301	4.994	1	46	Blank_2.bmp
229.295	5.011	1	47	Blank_4.bmp
234.30599999999998	5.0	1	48	Blank_3.bmp
