onset	duration	Run	Trial	image
0.0	4.878	1	1	SNA\2383.bmp
4.878	4.978	1	2	SNA\2372.bmp
9.856	5.011	1	3	SNA\2487.bmp
14.867	4.978	1	4	SNA\8160.bmp
19.845	4.994	1	5	Blank_3.bmp
24.839000000000002	4.462	1	6	Blank_4.bmp
29.301	4.994	1	7	Blank_2.bmp
34.295	5.595	1	8	Blank_1.bmp
39.89	4.96	1	9	NSPS\5760.bmp
44.85	5.011	1	10	NSPS\5910.bmp
49.861000000000004	4.995	1	11	NSPS\7570.bmp
54.856	4.445	1	12	NSPS\5849.bmp
59.301	4.994	1	13	Blank_4.bmp
64.295	4.995	1	14	Blank_3.bmp
69.29	5.011	1	15	Blank_2.bmp
74.301	5.593999999999999	1	16	Blank_1.bmp
79.895	4.961	1	17	SAV\9050.bmp
84.85600000000001	4.995	1	18	SAV\6840.bmp
89.851	5.011	1	19	SAV\9421.bmp
94.86200000000001	4.428	1	20	SAV\9910.bmp
99.29	5.011	1	21	Blank_3.bmp
104.301	4.995	1	22	Blank_2.bmp
109.296	4.994	1	23	Blank_4.bmp
114.29	5.595	1	24	Blank_1.bmp
119.885	4.96	1	25	NSNA\7500.bmp
124.845	5.011	1	26	NSNA\5120.bmp
129.856	4.995	1	27	NSNA\5534.bmp
134.851	4.445	1	28	NSNA\5720.bmp
139.296	4.995	1	29	Blank_3.bmp
144.291	4.994	1	30	Blank_4.bmp
149.285	5.011	1	31	Blank_1.bmp
154.296	5.593999999999999	1	32	Blank_2.bmp
159.89	4.944	1	33	NSAV\3400.bmp
164.834	5.013	1	34	NSAV\5940.bmp
169.847	5.01	1	35	NSAV\9330.bmp
174.857	4.428	1	36	NSAV\5971.bmp
179.285	5.011	1	37	Blank_3.bmp
184.296	4.995	1	38	Blank_1.bmp
189.291	5.011	1	39	Blank_4.bmp
194.30200000000002	5.61	1	40	Blank_2.bmp
199.912	4.945	1	41	SPS\8540.bmp
204.857	5.011	1	42	SPS\5621.bmp
209.868	5.011	1	43	SPS\1340.bmp
214.87900000000002	4.413	1	44	SPS\2050.bmp
219.292	4.995	1	45	Blank_4.bmp
224.287	5.0089999999999995	1	46	Blank_2.bmp
229.296	4.995	1	47	Blank_3.bmp
234.291	5.0	1	48	Blank_1.bmp
