onset	duration	Run	Trial	image
0.0	4.894	3	97	SPS\8540.bmp
4.894	5.012	3	98	SPS\2540.bmp
9.906	4.994	3	99	SPS\2345.bmp
14.9	4.428	3	100	SPS\5621.bmp
19.328	4.995	3	101	Blank_2.bmp
24.323	4.994	3	102	Blank_3.bmp
29.316999999999997	4.995	3	103	Blank_1.bmp
34.312	5.61	3	104	Blank_4.bmp
39.922	4.961	3	105	NSNA\7595.bmp
44.883	5.0280000000000005	3	106	NSNA\5800.bmp
49.911	4.978	3	107	NSNA\5130.bmp
54.888999999999996	4.445	3	108	NSNA\7510.bmp
59.333999999999996	4.995	3	109	Blank_2.bmp
64.329	4.994	3	110	Blank_4.bmp
69.32300000000001	5.011	3	111	Blank_3.bmp
74.334	5.593999999999999	3	112	Blank_1.bmp
79.928	4.978	3	113	SAV\9921.bmp
84.906	4.977	3	114	SAV\1201.bmp
89.883	4.962	3	115	SAV\9050.bmp
94.845	4.495	3	116	SAV\3051.bmp
99.34	4.994	3	117	Blank_4.bmp
104.334	4.995	3	118	Blank_2.bmp
109.329	5.011	3	119	Blank_3.bmp
114.34	5.593	3	120	Blank_1.bmp
119.93299999999999	4.962	3	121	NSPS\5300.bmp
124.895	5.011	3	122	NSPS\1560.bmp
129.906	4.978	3	123	NSPS\5220.bmp
134.884	4.445	3	124	NSPS\5910.bmp
139.329	5.011	3	125	Blank_4.bmp
144.34	4.994	3	126	Blank_2.bmp
149.334	4.995	3	127	Blank_1.bmp
154.329	5.593	3	128	Blank_3.bmp
159.922	4.978	3	129	NSAV\3400.bmp
164.9	4.995	3	130	NSAV\9600.bmp
169.895	4.994	3	131	NSAV\9181.bmp
174.889	4.428999999999999	3	132	NSAV\1240.bmp
179.31799999999998	5.011	3	133	Blank_3.bmp
184.329	4.994	3	134	Blank_2.bmp
189.32299999999998	5.011	3	135	Blank_1.bmp
194.334	5.593999999999999	3	136	Blank_4.bmp
199.928	4.961	3	137	SNA\2840.bmp
204.889	5.0280000000000005	3	138	SNA\9210.bmp
209.917	4.978	3	139	SNA\2580.bmp
214.895	4.428	3	140	SNA\7620.bmp
219.32299999999998	5.011	3	141	Blank_4.bmp
224.334	4.995	3	142	Blank_2.bmp
229.329	4.994	3	143	Blank_1.bmp
234.32299999999998	5.0	3	144	Blank_3.bmp
