onset	duration	Run	Trial	image
0.0	4.86	1	1	SNA\2372.bmp
4.86	4.995	1	2	SNA\2850.bmp
9.855	5.011	1	3	SNA\2575.bmp
14.866	4.428	1	4	SNA\2516.bmp
19.294	4.995	1	5	Blank_2.bmp
24.289	4.994	1	6	Blank_1.bmp
29.283	5.011	1	7	Blank_3.bmp
34.294000000000004	5.593999999999999	1	8	Blank_4.bmp
39.888000000000005	4.978	1	9	NSPS\5990.bmp
44.86600000000001	5.011	1	10	NSPS\7230.bmp
49.876999999999995	4.994	1	11	NSPS\5849.bmp
54.871	4.446000000000001	1	12	NSPS\1900.bmp
59.317	4.978	1	13	Blank_3.bmp
64.295	4.995	1	14	Blank_1.bmp
69.29	5.01	1	15	Blank_2.bmp
74.3	5.593999999999999	1	16	Blank_4.bmp
79.89399999999999	4.9639999999999995	1	17	SAV\9230.bmp
84.85799999999999	5.041	1	18	SAV\2900.bmp
89.899	4.962	1	19	SAV\6821.bmp
94.861	4.445	1	20	SAV\2053.bmp
99.306	4.994	1	21	Blank_2.bmp
104.3	4.995	1	22	Blank_3.bmp
109.295	4.994	1	23	Blank_1.bmp
114.289	5.644	1	24	Blank_4.bmp
119.93299999999999	4.961	1	25	NSNA\5130.bmp
124.89399999999999	4.945	1	26	NSNA\5120.bmp
129.839	5.011	1	27	NSNA\7595.bmp
134.85	4.461	1	28	NSNA\7510.bmp
139.311	4.978	1	29	Blank_1.bmp
144.289	5.011	1	30	Blank_4.bmp
149.3	4.995	1	31	Blank_3.bmp
154.295	5.645	1	32	Blank_2.bmp
159.94	4.96	1	33	NSAV\9470.bmp
164.9	4.978	1	34	NSAV\9280.bmp
169.878	5.011	1	35	NSAV\9330.bmp
174.889	4.412	1	36	NSAV\1280.bmp
179.301	5.011	1	37	Blank_2.bmp
184.312	4.994	1	38	Blank_4.bmp
189.30599999999998	4.995	1	39	Blank_3.bmp
194.301	5.643	1	40	Blank_1.bmp
199.94400000000002	4.945	1	41	SPS\8497.bmp
204.889	5.011	1	42	SPS\2091.bmp
209.9	4.978	1	43	SPS\5621.bmp
214.878	4.428	1	44	SPS\2209.bmp
219.30599999999998	4.995	1	45	Blank_3.bmp
224.301	4.995	1	46	Blank_4.bmp
229.296	5.01	1	47	Blank_1.bmp
234.30599999999998	5.0	1	48	Blank_2.bmp
